|  RAM[0]  |  RAM[1]  |  RAM[2]  |  RAM[1000]  |  RAM[1001]  |  RAM[1002]  |  RAM[1003]  |  RAM[1004]  |  RAM[1005]  |  RAM[1006]  |
|       1  |    1000  |       4  |          1  |          2  |          3  |          4  |          3  |          1  |          5  |
|       1  |    1000  |       4  |          2  |          1  |          4  |          3  |          3  |          1  |          5  |
|       1  |    1000  |       7  |          2  |          4  |          6  |          3  |          3  |          1  |          5  |
|       0  |    1000  |       4  |          0  |          0  |          0  |          0  |          3  |          1  |          5  |
|      -4  |    1000  |       4  |         -2  |         -1  |         -4  |         -3  |          3  |          1  |          5  |
|      -3  |    1000  |       4  |         -2  |          1  |          4  |         -3  |          3  |          1  |          5  |
|       1  |    1000  |       4  |      20000  |          1  |          4  |      32767  |          3  |          1  |          5  |
|  -32768  |    1000  |       4  |     -20000  |          1  |          4  |     -32768  |          3  |          1  |          5  |
|  -32768  |    1000  |       4  |      20000  |          1  |          4  |     -32768  |          3  |          1  |          5  |
|  -20000  |    1000  |       4  |     -20000  |          1  |          4  |      32767  |          3  |          1  |          5  |
