|  RAM[0]  |  RAM[1]  |  RAM[2]  |  RAM[1000]  |  RAM[1001]  |  RAM[1002]  |  RAM[1003]  |  RAM[1004]  |  RAM[1005]  |  RAM[1006]  |
|      -1  |    1000  |       4  |          1  |          2  |          3  |          4  |          4  |          5  |          6  |
|      -1  |    1000  |       4  |          1  |          2  |          3  |          4  |          4  |          5  |          6  |
|      -1  |    1000  |       7  |          1  |          2  |          3  |          3  |          4  |          5  |          6  |
|      -1  |    1000  |       4  |          0  |          0  |          0  |          0  |          4  |          5  |          6  |
|      -1  |    1000  |       4  |         -4  |         -3  |         -2  |         -1  |          4  |          5  |          6  |
|      -1  |    1000  |       4  |         -3  |         -2  |          1  |          4  |          4  |          5  |          6  |
|      -1  |    1000  |       4  |          1  |          4  |      20000  |      32767  |          4  |          5  |          6  |
|      -1  |    1000  |       4  |     -32768  |     -20000  |          1  |          4  |          4  |          5  |          6  |
|      -1  |    1000  |       4  |     -32768  |          1  |          4  |      20000  |          4  |          5  |          6  |
|      -1  |    1000  |       4  |     -20000  |          1  |          4  |      32767  |          4  |          5  |          6  |
